,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.6,0.91,0.94,0.91,0.91,0.93
4:6-0.6,0.92,0.95,0.91,0.92,0.94
5:5-0.6,0.91,0.95,0.91,0.92,0.94
6:4-0.6,0.91,0.96,0.9,0.92,0.94
9:1-0.6,0.91,0.96,0.9,0.92,0.93
max
3:7-0.6,0.93,0.95,0.93,0.93,0.94
4:6-0.6,0.93,0.95,0.92,0.93,0.94
5:5-0.6,0.92,0.96,0.92,0.94,0.94
6:4-0.6,0.92,0.96,0.91,0.93,0.94
9:1-0.6,0.93,0.96,0.92,0.93,0.94
min
3:7-0.6,0.89,0.92,0.89,0.88,0.91
4:6-0.6,0.9,0.95,0.9,0.91,0.93
5:5-0.6,0.9,0.95,0.89,0.9,0.93
6:4-0.6,0.9,0.96,0.89,0.9,0.93
9:1-0.6,0.89,0.96,0.88,0.9,0.92
std
3:7-0.6,0.02,0.01,0.02,0.03,0.01
4:6-0.6,0.02,0.0,0.01,0.01,0.0
5:5-0.6,0.01,0.01,0.02,0.02,0.0
6:4-0.6,0.01,0.0,0.01,0.02,0.0
9:1-0.6,0.02,0.0,0.02,0.02,0.01
test finished in 233.88 seconds
