,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.74,0.01,0.01,0.0,0.01
0.45,0.91,0.53,0.52,0.33,0.67
0.50,0.92,0.84,0.83,0.75,0.87
0.55,0.89,0.95,0.88,0.88,0.92
0.60,0.8,0.98,0.77,0.79,0.88
0.65,0.69,0.99,0.61,0.57,0.81
0.70,0.66,0.99,0.57,0.52,0.79
0.75,0.66,0.99,0.57,0.52,0.79
max
0.40,1.0,0.13,0.13,0.04,0.23
0.45,0.95,0.64,0.63,0.5,0.76
0.50,0.95,0.9,0.89,0.9,0.93
0.55,0.93,0.97,0.92,0.94,0.95
0.60,0.85,0.99,0.82,0.88,0.92
0.65,0.77,0.99,0.7,0.79,0.87
0.70,0.73,1.0,0.65,0.73,0.84
0.75,0.73,1.0,0.65,0.73,0.84
min
0.40,0.26,0.0,-0.0,-0.0,0.0
0.45,0.85,0.37,0.36,0.14,0.52
0.50,0.88,0.77,0.76,0.61,0.83
0.55,0.86,0.92,0.84,0.81,0.89
0.60,0.73,0.97,0.68,0.62,0.83
0.65,0.63,0.98,0.53,0.41,0.77
0.70,0.6,0.98,0.49,0.35,0.75
0.75,0.6,0.98,0.48,0.35,0.75
std
0.40,0.31,0.02,0.02,0.01,0.04
0.45,0.02,0.06,0.06,0.08,0.05
0.50,0.01,0.03,0.03,0.06,0.02
0.55,0.01,0.01,0.02,0.03,0.01
0.60,0.02,0.0,0.03,0.05,0.01
0.65,0.02,0.0,0.03,0.07,0.02
0.70,0.02,0.0,0.03,0.07,0.02
0.75,0.02,0.0,0.03,0.07,0.02
test finished in 25798.49 seconds
